page_date,category,title,readings_text,body,prayer,image_path,reading_links_json
2026-01-01,Love The Lord,1 January : Love'S Beginning,"Genesis 1-2, Matthew 1, Psalm 1","You are created by God in His image, crafted with love and purpose. You are not an accident or an afterthought. From the beginning, God formed you with care and breathed His life into you. Rest in His presence and let your worship rise from the joy of knowing your Creator.

His faithfulness never fails. J ust as He fulfilled His promises in Christ, He will accomplish His good purpose in you. You can trust His timing, even when the process feels slow.

From creation to redemption, His love is the foundation of your identity. Stay rooted in His truth and His love will sustain you in every season. Love Him by walking i n the fear of the Lord and His wisdom will become your guide and strength.","Heavenly Father, thank You for creating me in Your image and for crafting my life with purpose. Help me to rest in Your presence, to love You with my whole heart and to stay rooted in Your Word. Guide me by Your wisdom and sustain me with Your love in every season. May my life reflect Your faithfulness and bring You glory. Amen.",/static/images/picture1.jpg,"[{""text"": ""Genesis 1"", ""url"": ""https://www.wordproject.org/bibles/kj/01/1.htm""}, {""text"": ""Genesis 2"", ""url"": ""https://www.wordproject.org/bibles/kj/01/2.htm""}, {""text"": ""Matthew 1"", ""url"": ""https://www.wordproject.org/bibles/kj/40/1.htm""}, {""text"": ""Psalm 1"", ""url"": ""https://www.wordproject.org/bibles/kj/19/1.htm""}]"
2026-01-02,Love The Lord,2 January : Choosing Love Over Sin,"Genesis 3, Matthew 2, Psalm 2","Genesis 3 tells the heartbreaking story of the fall of Man. Adam and Eve faced a choice between trusting God and succumbing to their own desires. The serpent tempted them with the notion that they could have wisdom and independence from God. Tragically, they fell into sin.

Despite their failure, God's love never ceased to exist. Though sin brought consequences, the Lord covered their nakedness and gave them hope and a future.

Sin creeps in when we doubt God's goodness and look for fulfilment outside of Him. Let us choose to dwell in our Saviour's love daily, for it is better than any tempora l worldly pleasure.","Heavenly Father, thank You for loving me through Jesus and showing me the way of life. Strengthen me to resist temptation, to walk in righteousness and to love You through my choices each day. May my obedience reflect my devotion to You. Amen.",/static/images/picture1.jpg,"[{""text"": ""Genesis 3"", ""url"": ""https://www.wordproject.org/bibles/kj/01/3.htm""}, {""text"": ""Matthew 2"", ""url"": ""https://www.wordproject.org/bibles/kj/40/2.htm""}, {""text"": ""Psalm 2"", ""url"": ""https://www.wordproject.org/bibles/kj/19/2.htm""}]"
2026-01-03,Love The Lord,3 January : Repentance Pleases God,"Genesis 4, Matthew 3, Psalms 3-4","In Matthew 3, John the Baptist called the people to repent because 'the kingdom of heaven has come near '. Repentance is not about shame. It is about returning to the One who loves us. When we genuinely love the Lord, we don't run from Him when we fail. We run to Him.

Repentance is saying, 'God, I love You too much to stay distant. I want my heart close to Yours '. John went on to say, 'Produce fruit in keeping with repentance'. When we love the Lord, we allow Him to change our attitudes, habits and behaviours.

True repentance bears fruit like humility, generosity, obedience, forgiveness and holiness. We don't change to earn His love. We change because we already have His love and desire to delight His heart.","Lord Jesus, I turn to You. Forgive me for any area of sin. I want to please You first. Teach me to hide in You each day and to rest in Your faithful protection. May Your presence refresh my soul and guide my steps. Amen.",/static/images/picture1.jpg,"[{""text"": ""Genesis 4"", ""url"": ""https://www.wordproject.org/bibles/kj/01/4.htm""}, {""text"": ""Matthew 3"", ""url"": ""https://www.wordproject.org/bibles/kj/40/3.htm""}, {""text"": ""Psalms 3"", ""url"": ""https://www.wordproject.org/bibles/kj/19/3.htm""}, {""text"": ""Psalms 4"", ""url"": ""https://www.wordproject.org/bibles/kj/19/4.htm""}]"
2026-01-04,Love The Lord,4 January : Walking With God,"Genesis 5-6, Matthew 4, Psalm 5","Enoch's life in Genesis 5 is summarised in a simple yet powerful phrase: 'Enoch walked faithfully with God'. This wasn't a momentary burst of spirituality. It was a lifelong practice of staying close to God.

Wholehearted faith is not just believing in God but choosing to walk with Him in every season. Faith is not a sprint. It's a daily walk side-by-side with God. Hebrews 11:5 reveals Enoch's legacy: 'He was commended as one who pleased God'.

Enoch's faith so delighted the Lord that God took him directly into His presence. Although he neither built an ark nor led a nation, he loved God deeply and that was enough. Let us strive to walk closely with our Abba Father every day!","Heavenly Father, help me to walk faithfully with You. I desire to know You more. Keep me steadfast in Your love and obedience, bearing fruit that pleases You. Be with me every single moment of every day. I put my trust in You. Amen.",/static/images/picture1.jpg,"[{""text"": ""Genesis 5"", ""url"": ""https://www.wordproject.org/bibles/kj/01/5.htm""}, {""text"": ""Genesis 6"", ""url"": ""https://www.wordproject.org/bibles/kj/01/6.htm""}, {""text"": ""Matthew 4"", ""url"": ""https://www.wordproject.org/bibles/kj/40/4.htm""}, {""text"": ""Psalm 5"", ""url"": ""https://www.wordproject.org/bibles/kj/19/5.htm""}]"
2026-01-05,Love The Lord,5 January : Safe In The Storm,"Genesis 7-8, Matthew 5:1-20, Proverbs 1:1-7","Everyone goes through stor ms of life. But it all comes down to this: 'Is God in the storm with us?'. Noah entered the Ark because the Lord told hi m to. Imagine the fatal consequences if he had refused? His family would have drowned with the rest of the world.

Noah's family was safe from the storm, but had to endure a long waiting period before they could disembark from the Ark. Even in the silence, God remembered Noah. Our Lord does not forget His children. He has not forgotten about you and me!

When the waters receded and the door opened, Noah stepped into a completely new world. The same God who protected him in the ark now guided him into a fresh start. Whether you are in a storm or a waiting season, continue to trust Him. He is preparing a fresh beginning for you!","Heavenly Father, thank You for being my shelter and my joy. Teach me to obey You in love, to walk in humility and to treasure Your wisdom in my heart. May Your presence bring me peace and keep me secure in every season. Amen.",/static/images/picture1.jpg,"[{""text"": ""Genesis 7"", ""url"": ""https://www.wordproject.org/bibles/kj/01/7.htm""}, {""text"": ""Genesis 8"", ""url"": ""https://www.wordproject.org/bibles/kj/01/8.htm""}, {""text"": ""Matthew 5:1-20"", ""url"": ""https://www.wordproject.org/bibles/kj/40/5.htm""}, {""text"": ""Proverbs 1:1-7"", ""url"": ""https://www.wordproject.org/bibles/kj/20/1.htm""}]"
2026-01-06,Love The Lord,"6 January : Covenant Love, Covenant Life","Genesis 9-10, Matthew 5:21-48, Proverbs 1:8-19","If covenant love (God's faithful love for us) is the foundation, then covenant life (our faithful living for Him) is the expression. One can't exist without the other.

Love without life is empty words. Life without love is legalism. God's covenant with us is a promise based on His own character.

Stay close to Him and lift your prayers to Him. Live in a way that honours Him and embodies God's truth in practical choices. You will eventually see the fulfilment of His Word: 'be fruitful and multiply' in your life.","Heavenly Father, thank You for Your everlasting covenant and unfailing love. Help me to walk in Your righteousness, to seek You in prayer and to trust Your promises. May my life bear fruit that brings glory to Your name. Amen.",/static/images/picture1.jpg,"[{""text"": ""Genesis 9"", ""url"": ""https://www.wordproject.org/bibles/kj/01/9.htm""}, {""text"": ""Genesis 10"", ""url"": ""https://www.wordproject.org/bibles/kj/01/10.htm""}, {""text"": ""Matthew 5:21-48"", ""url"": ""https://www.wordproject.org/bibles/kj/40/5.htm""}, {""text"": ""Proverbs 1:8-19"", ""url"": ""https://www.wordproject.org/bibles/kj/20/1.htm""}]"
2026-01-07,Love The Lord,7 January : Knowing God As Father,"Genesis 11-12, Matthew 6, Proverbs 1:20-26","The Lord's Prayer begins with just two life-changing words: 'Our Father'. Jesus could have said 'Our King' or 'Our Creator', but He chose 'Father''.

In the Old Testament, we see that God's people would refer to Him in strictly reverential ways, such as Yahweh, Adonai, or Elohim. Christ came to reveal that the greatest relationship we can have with God is by acknowledging Him as our Heavenly Fathe r. Hence, we can have a personal and intimate relationship with Him.

This is why we are told to 'draw near to God, and He will draw near to us '. He wants to be near us. He desires to have a loving relationship with us. Speak with Him and share your heart with Him! He listens, cares and responds.","Heavenly Father, thank You for revealing Yourself as my Heavenly Father. You are the most perfect Father I could ever have. As I draw near to You, reveal Yourself to me. Help me to know and love You more than anyone else. Amen.",/static/images/picture1.jpg,"[{""text"": ""Genesis 11"", ""url"": ""https://www.wordproject.org/bibles/kj/01/11.htm""}, {""text"": ""Genesis 12"", ""url"": ""https://www.wordproject.org/bibles/kj/01/12.htm""}, {""text"": ""Matthew 6"", ""url"": ""https://www.wordproject.org/bibles/kj/40/6.htm""}, {""text"": ""Proverbs 1:20-26"", ""url"": ""https://www.wordproject.org/bibles/kj/20/1.htm""}]"
2026-01-08,Connect With Community,8 January : Peaceful Relationships,"Genesis 13-15, Matthew 7, Proverbs 1:27-33","A conflict arose between Abraham's and Lot's herdsmen as their growing flocks strained the land they shared. Instead of quarrelling over it, Abraham chose peace. Out of love for his close relative, Abra ham allowed Lot to choose the land he wanted first.

We can have p eaceful relationships when we value people over possessions and unity over pride. Peace doesn't mean avoiding conflicts. It means handling those conflicts with love. It means seeking to understand before seeking to be understood.

God's heart is for reconciliation, not division. May our Heavenly Father help us to build meaningful and peaceful relationships.","Lord Jesus, thank You for calling me to be salt and light in this world. Teach me to seek peace, to walk humbly like Jesus and to love others with mercy. May my life reflect Your heart and draw others closer to You. Amen.",/static/images/picture2.jpg,"[{""text"": ""Genesis 13"", ""url"": ""https://www.wordproject.org/bibles/kj/01/13.htm""}, {""text"": ""Genesis 14"", ""url"": ""https://www.wordproject.org/bibles/kj/01/14.htm""}, {""text"": ""Genesis 15"", ""url"": ""https://www.wordproject.org/bibles/kj/01/15.htm""}, {""text"": ""Matthew 7"", ""url"": ""https://www.wordproject.org/bibles/kj/40/7.htm""}, {""text"": ""Proverbs 1:27-33"", ""url"": ""https://www.wordproject.org/bibles/kj/20/1.htm""}]"
2026-01-09,Connect With Community,9 January : Meeting People Where They Are,"Genesis 16-17, Matthew 8, Proverbs 2:1-11","In the desolate place where Hagar fled, God found her. In Abraham's household, Hagar was seen as a maidservant and a substitute. But God saw her for who she was and what she was going through.

God sees and hears the cries of those who are hurting. He cares for the forgotten, reminding us to extend grace and inclusion to those who feel overlooked. Jesus consistently noticed those whom society overlooks. He gives a voice to the powerless and embraces the marginalised.

We often rush past others' pain, quick to dismiss them rather than share tears. When you meet people where they are, you make God's love visible and felt for them. In an unkind world, compassion slows us down to see what God sees-the person behind the pain.","Heavenly Father, You are the one who sees the broken and hears every cry. Help me slow down to notice the hurting and show compassion as Jesus did. Let my kindness make Your love visible to those wh o feel forgotten. Amen.",/static/images/picture2.jpg,"[{""text"": ""Genesis 16"", ""url"": ""https://www.wordproject.org/bibles/kj/01/16.htm""}, {""text"": ""Genesis 17"", ""url"": ""https://www.wordproject.org/bibles/kj/01/17.htm""}, {""text"": ""Matthew 8"", ""url"": ""https://www.wordproject.org/bibles/kj/40/8.htm""}, {""text"": ""Proverbs 2:1-11"", ""url"": ""https://www.wordproject.org/bibles/kj/20/2.htm""}]"
2026-01-10,Connect With Community,10 January : Power Of Intercession,"Genesis 18-19, Matthew 9, Proverbs 2:12-22","Lot and his family were spared from God's judgment because of Abraham's prayers. For us today, this account reminds us that intercession is more than words. I t is standing in the spiritual gap for others.

God invites us to partner with Him in prayer for our families, church and nation. The power of intercession is not about our eloquence but in our alignment with God's will and heart.

It is a selfless act where you take on the burdens of others as your own. It is believed that through prayer, the enemy's plans can be thwarted. Ultimately, we believe that God's purposes may prevail. Will you be willing to stand in the gap for others?","Heavenly Father, thank You for hearing the prayers of Your people. Like Abraham, please help me to intercede with faith and compassion for those in need. Teach me to pray with conviction and sincerity, so that my community may be strengthened and Your mercy revealed. Amen.",/static/images/picture2.jpg,"[{""text"": ""Genesis 18"", ""url"": ""https://www.wordproject.org/bibles/kj/01/18.htm""}, {""text"": ""Genesis 19"", ""url"": ""https://www.wordproject.org/bibles/kj/01/19.htm""}, {""text"": ""Matthew 9"", ""url"": ""https://www.wordproject.org/bibles/kj/40/9.htm""}, {""text"": ""Proverbs 2:12-22"", ""url"": ""https://www.wordproject.org/bibles/kj/20/2.htm""}]"
